example_id,customer_message,brand_response,suggested_intent,human_intent,should_escalate,ambiguous,labeling_notes,customer_tweet_id,brand_tweet_id
GS_0015,"the issue has no surfaced on Mac OS, my iPhone and Mac Spotify desktop client can no longer play Grimes https://t.co/ZdVTYh5YeI",Thanks for letting us know. Our best tech folks are on the case as we speak. Thanks for bearing with us /CO,general_inquiry,,,False,,1752918,1752919
GS_0016,"I apologize, but my problem is back. It was shuffleing my songs this morning on my way to work, but now it is not working again for whatever reason. It’s doing the same thing as before where the shuffle light goes off as soon as the song changes. Please help!",Could you shoot us a DM with your account's username and email address? We'll take a look backstage /VK https://t.co/ldFdZRiNAt,playback_issue,,,True,ambiguous - matches multiple intent patterns,1403667,1403668
GS_0017,Sweet. I forgot about that tab. Sorry to bother you with my silly question. You guys are the best!!,https://t.co/qAh6tkevrD! You know where to find us if there's anything else. Happy listening 🙂 /KM,account_login,,,False,,181556,181557
GS_0018,I've tried this and it still does not work.,Thanks for giving it a shot. Could you open the web player in an incognito/private window? We'll be on the lookout for your update /RK,app_bug,,,False,,1500612,1500613
GS_0019,Wondering why Loreens new cd Ride are not available on for spotify france?we have 2 singles and the ep from this summer.i have had the same problem with new music from other swedish artists before..,"We understand. Fingers crossed we'll be able to have Loreen's Ride in France soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa. For anything else, we're just a tweet away /LS",content_search,,,False,,158956,158958
GS_0020,"Well, let's wait and hope that very soon it will appear in Russia. And thanks for the answer)","You're welcome! If you ever need anything else, just shout and we'll come running 🏃 /JX",general_inquiry,,,False,,1057627,1057629
GS_0021,I haven’t had premium before but can’t get it as it say unable to do via a virgin phone.,We understand. We're afraid that it isn't possible to sign up for the offer via your mobile phone bill. We'd suggest using either a payment card or PayPal. Hope this helps /MU,premium_billing,,,False,,79452,79454
GS_0022,Not at the same time. I linked my Spotify account (part of the Family plan) to my Echo and linked my Sonos to my Echo.,Thanks. What's happening exactly when you're trying to play on your phone/desktop? Are you getting any error messages? /JP,premium_billing,,,False,,696721,696725
GS_0023,"Tried it, doesn't work.",Hmm. Could you DM us your account's email address or username? We'll take a look backstage /KM https://t.co/ldFdZRiNAt,app_bug,,,False,,2605010,2605012
GS_0024,Thanks for this information. I'm now trying to play music on the tv via Spotify Connect on my phone but the tv isn't popping up as a device? My phone also says download Spotify app to the tv but that link you provided says I don't have to?,"Hmm. Can you check if your Samsung TV supports Spotify? Just head to Samsung’s app store &gt; browse and select Spotify, under Lifestyle &gt; click ""Check your device"" in the top-right. Keep us posted /JS",download_offline,,,True,ambiguous - matches multiple intent patterns,2653213,2653214
GS_0025,"Hey! It's resolved now - just looks as though there was a bloop in my ISP when connecting to Spotify. Btw, is that a template message in LSW/Lithium Response?",Nice! We're glad it's working now. Now let's... https://t.co/flUnoJ2P8u /PK,playback_issue,,,False,,80933,80935
GS_0026,That’s how it looks now. I can’t find any daily mix’s https://t.co/vOIhDLMFP6,Thanks for the details! You should be able to find your Daily Mix under the Your Library tab 🙂 /KT,content_search,,,False,,2165486,2165485
GS_0027,"I'm not sure what happened, but shortly after I sent my last tweet, I tried logging in in Firefox and it worked. Then when I went back to Chrome it worked again there too, so it's all good now.",Fantastic news! Give us a shout if it starts misbehaving again. We're... https://t.co/zOXI6a8thO /DN,account_login,,,False,,106315,106316
GS_0028,"but I can't find preferences anymore, so I just blocked all Spotify notifications instead,",1: Ok cool! You should be able to get to Settings by tapping Your Library &gt; the cog in the top right.,content_search,,,False,,1221121,1221126
GS_0029,"Thanks but that didn’t answer WHY there’s a limit. I have 16gb free on my phone and want to download at least 5,555 songs not 3,333.","We completely understand. We don't have any more info on this right now, but we'll let the team know it's something you'd like to see /JI",download_offline,,,True,ambiguous - matches multiple intent patterns,2072774,2072773
GS_0030,yes. my username is geetyakbari,Thanks for that! Could you please delete your last response to keep your information private? We'll carry on the conversation in a DM 🙂 /JQ https://t.co/ldFdZRiNAt,account_login,,,False,,1783028,1783030
GS_0031,My password isn’t working and I️ have tried both emails. Trying to reset it.,Gotcha. Can you DM us your Spotify account's email address and username? We'll take a look backstage 🔍 /PI https://t.co/ldFdZRiNAt,account_login,,,False,,1962014,1962016
GS_0032,Just trying to download the current version from the Spotify site. I have Windows 8.1.,Got it. Could you try installing the app in Safe Mode? Let us know how it goes /NS,download_offline,,,False,,2482200,2482202
GS_0033,"Stand down. After a reinstall of the app, login logout and resending the invite, one or all of the above fixed the issue 👍👍👍 thanks guys!",No worries! Just give us a shout if you need help with anything else. We're just a tweet away 🙂 /LM,account_login,,,True,ambiguous - matches multiple intent patterns,323077,323076
GS_0034,Can't login please help,Hey Jennifer! We've just replied to your DM. We'll carry on helping out there /KC,account_login,,,False,,67687,1007523
GS_0035,"no just the message: loading, please wait... - and so nothing happens on the credit card update site.",Got it. Can you try clearing your browser's cache/cookies? Doing this on a private/incognito window is worth a shot too /CP,premium_billing,,,False,,2545864,2545866
GS_0036,"I know, but your UI is saying that I’m at 1k+ of 4k+ downloads. It seems like it should say 1k+ of 3,333. ;)",That's odd. Can you send us a screenshot of what you're seeing in-app? We'll do some digging 🔍 /JE,download_offline,,,False,,91680,91679
GS_0037,There’s no reason for my downloads to be removed! And sometimes it happens to some artists I think you should fix the app,"Thanks for the feedback, we appreciate it! Can you let us know which artists this happens to? We’ll get this passed onto the right team /CG",download_offline,,,False,,226186,226188
GS_0038,"nop no diff, still ""This song is not available. If you have the file on your computer you can import it.""",Can you try reinstalling the app on your laptop? You can follow the steps here: https://t.co/3FU57oyTNJ. Let us know if that helps /DR,content_search,,,False,,1115800,1115801
GS_0039,Sure - where do I find the email address that I used? I can only find my username. Thank you!,Can you send us a screenshot of your Account overview page showing your username: https://t.co/cnaaFIwigZ via DM? We'll check it out /RC https://t.co/ldFdZRiNAt,account_login,,,True,ambiguous - matches multiple intent patterns,2912432,2912433
GS_0040,"Just switched from a S7 to S8...Facebook login takes me to a nonpremium account that has none if my playlists, songs etc.",Thanks. Can you DM us your account's username or email address? We'll check backstage /AP https://t.co/ldFdZRiNAt,account_login,,,True,ambiguous - matches multiple intent patterns,353157,353159
GS_0041,"i tried desktop app, iphone app, ipad app, and web player. i gave up and bought the songs on itunes. it was for a funeral this am.","2: On iOS, hitting the 3 dots in the top-right &gt; Edit &gt; &amp; dragging should work. Can you let us know what happens when trying that? 🙂 /M",general_inquiry,,,False,,1492590,1492589
GS_0042,"Well, I’m a premium member of Spotify because it’s 200% worth it, and I’ve been getting adds recently... is that new?",That's odd. Can you DM us your account's username or email address? We'll take a look backstage /PK https://t.co/ldFdZRiNAt,premium_billing,,,False,,2986604,2986603
GS_0043,Sharing it still not working. Uninstalled/reinstalled - saw the app did an update - no phone updates. Please send help.,"Hi again Bex! Thanks for bearing with us. Don't worry, our developers are looking into this. Hopefully we'll have a fix soon /KB",app_bug,,,False,,252308,252309
GS_0044,"Everything else works, it's just that the music won't play.",Got it. Are you getting any specific error messages? A screenshot would come in handy /NS,playback_issue,,,False,,829602,829601
GS_0045,"Unfortunately that means I will be subscribing to Apple Music, a family account not suitable for a family not the best idea !!",Sorry if you feel that way. You can help make it happen by showing your support for the idea here: https://t.co/CdI1SY9KZE /PL,premium_billing,,,False,,788965,788963
GS_0046,I’m on free because premium cost money and like I listen to a playlist with numerous artists and then it creates a radio for it which confuses me because I don’t read which one is which.,Thanks. We're afraid Suggested Tracks will play when listening to an album or playlist as it's part of our Free service: https://t.co/cb2fdSWXG9. You can check out https://t.co/zgnxs5kPEu if you haven't had Premium before. Give us a shout if there's anything else /RE,premium_billing,,,False,,2933216,2933217
GS_0047,Yeah it's been doing it for a while but I made a new playlist to test fully. So it's not just a new update? Do I try redownloading the app?😊,"First, try logging out &gt; restarting your device &gt; logging back in. Did it make a difference? /MU",app_bug,,,True,ambiguous - matches multiple intent patterns,50629,50630
GS_0048,The normal 3 state is a 2 state on these devices: no repeat and repeat all,"Hmm, that's odd. Does logging out &gt; restarting your devices &gt; logging back in help at all? Keep us posted /MT",playback_issue,,,False,,1477035,1477033
GS_0049,"I forgot to delete this. I sent an email, got a response, and replied already but since I have you....iPhone 6S with iOS 10.3.3.",Gotcha. Could you also DM us your account's email address? We'll take a look backstage /JO,account_login,,,False,,829955,829957
GS_0050,"It also doesn't play on my Note 8. If I try and play it on both operating systems it says ""this song is not available""",Thanks. Can you send us the Spotify URI? Just right-click the album &gt; Share &gt; URI. What country is your Spotify account set to? /RH,content_search,,,False,,1058788,1058787
GS_0051,Thanks for the answer. I have no other way to play spotify on the tv. The options given are not available for me. I'll have to wait longer,"We're sorry to hear that. Rest assured, we're passing on your comments about this to the right team /K",content_search,,,True,ambiguous - matches multiple intent patterns,1235793,1235795
GS_0052,Spotify 1.0.65.320.gac7a8e02 Windows 7 64bit Home Premium,"Thanks for the info. Have you tried rebooting your computer and restarting your router? If not, can you give it a try? /RK",premium_billing,,,False,,1067210,1067208
GS_0053,Spotify keeps stopping and starting. Songs won’t play through the home screen. Can I have a refund for premium? #veryfrustrated !,"Hi Michael, help's arrived! We have some info we'd like to share with you via DM. Let's carry on chatting there /DV https://t.co/ldFdZRiNAt",playback_issue,,,True,ambiguous - matches multiple intent patterns,728397,728399
GS_0054,it says im offline on the desktop app but im connected to the wifi...and for the webplayer it’s stuck on an ad that wont play...,That's not cool. Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /VK,download_offline,,,False,,377563,377565
GS_0055,"I have found the bug, What happens is when the playlist are downloading avast scans the files coming in and makes it cache in ram. Then you need to end task spotify and restart the software then its deleted the files stuck in ram. So its a communication error with other software",Thanks for all the info! Could you send us your OS and Avast version numbers? We'll report this on to the right folks for you /BH,download_offline,,,False,,2373427,2373429
GS_0056,"i don't have anything else to try with right now, but i've never experienced this before",Got it! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /RV,general_inquiry,,,False,,1355034,1355035
GS_0057,Never mind I just had to re download it but thank you for replying,"No worries! Just to check, is everything good on your end? If not, we'll be happy to help you further /JS",download_offline,,,True,ambiguous - matches multiple intent patterns,980816,980819
GS_0058,"And to be fair, I really care about children hearing this ad, especially during the Christmas season. You promote your classic Christmas playlist, and it is family oriented. Offending me personally is not relevant.","We hear you 🎧 Rest assured, your feedback will be passed on to the right folks. Anything else, give us a shout /PX",general_inquiry,,,False,,2785012,2785014
GS_0059,I am listening from the United States and my account is set in the U.S. as well. Hope that helps.,"1: That's odd. We've taken a closer look and the track plays the correct song. Can you tell us what device, operating system, and...",general_inquiry,,,False,,38973,38975
GS_0060,Its fixed thank you i think i just pit wrong login there,No worries! Let us know if you ever need us again. We'd be... https://t.co/H82fhDtvr6 /RS,account_login,,,True,ambiguous - matches multiple intent patterns,729281,729280
GS_0061,"I've just created a playlist of the album and trying to play that it says ""This song not available.""","Is this happening over WiFi, 3G/4G, or both? If on WiFi, is it a public or private connection? /LO",content_search,,,False,,312215,312217
GS_0062,"Works like a charm. You guys rock. I am, of course, a premium subscriber!","Awesome, that's what we like to hear! If you need us again, just... https://t.co/AUc7DGJpgF 💚 /GN",premium_billing,,,False,,2913778,2913780
GS_0063,Well it’s happening AGAIN today. Clear cache/cookies and it continues to crash in chrome.,Can you try using an incognito window? Could you also ask your work IT if they've put up some restrictions that might block Spotify? /JP,app_bug,,,False,,1395876,1395877
GS_0064,Thnx. Do your algorithms know when I’m skipping tracks/ not listening to the whole track?,"On the Spotify desktop app, you can now tap the heart or no entry icons to tell us whether you like or don't like the track. This will help our algorithms determine the best tunes for your ears when updating your Discover Weekly. Give us a shout if you have any questions /JZ",playback_issue,,,False,,2841200,2841202
GS_0065,New update tomorrow ?,"We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /KL",app_bug,,,False,,888587,888588
GS_0066,I've had my downloads removed twice before but this time I'm missing songs from my library,"Just to check, can you still see your playlists? Also, is it the same while on a different device? /MU",download_offline,,,True,ambiguous - matches multiple intent patterns,2748535,2748537
GS_0067,It happens on my xbox and samsung s7 edge and it should be the latest version of the app i tried a test account you gave me last time i said about the glitch and the same thing happened,Thanks for the info. Can you send us another DM so we can share more info about this? We'll be on the lookout for it /AY https://t.co/ldFdZRiNAt,app_bug,,,False,,2718572,2718570
GS_0068,can't access your so called 9 peso premium using card or load,"Just to check, are you getting any error messages? A screenshot can be handy. Could you also DM us your account's email address? We'll take a look backstage /AU https://t.co/ldFdZRiNAt",account_login,,,True,ambiguous - matches multiple intent patterns,118876,118875
GS_0069,Lol... How do you know it's not available in my country without checking my account?,"We checked your previous tweets, found your Premium, Facebook-created account, and checked the artist availability in your country /RB",content_search,,,True,ambiguous - matches multiple intent patterns,1585542,1585541
GS_0070,1.0.67.582.g19436fa3 does that help? I only downloaded it Sunday.,"Got it. If you're on a home WiFi network, can you reset the router before trying again? Let us know how it goes /JU",download_offline,,,False,,2439893,2439895
GS_0071,This new update (iOS 11) won’t allow me to swipe up and change the song on spotfiy like I could before the update.,Hmm. Could you give us both the exact iOS and Spotify app versions you have on your device? /JU,app_bug,,,False,,1528514,1528512
GS_0072,I'm on 8.4.20.535 (downloaded earlier today on the Belgian store as I wanted to see if reinstalling fixed the issue),Thanks. Can you try logging out &gt; restarting your device &gt; logging back in? Let us know how it goes /RS,download_offline,,,False,,1013926,1013928
GS_0073,"I'm already there in your waiting list...😰 (No delay in good things ✊) What could be the reason, it's not available in my country ?😰",We'd love to be available everywhere! Hopefully we'll be there in the future 🙂 /Q,content_search,,,True,ambiguous - matches multiple intent patterns,862208,862209
GS_0074,"It says I need to go to https://t.co/2PBI9rYRiZ to use my premium account, but that link/website is broken.",Got it. Can you DM us your account's email address or username? We'll take a look behind the scenes /JE https://t.co/ldFdZRiNAt,app_bug,,,True,ambiguous - matches multiple intent patterns,1368565,1368564
GS_0075,I’ve removed and re-added. Nothing. Old downloads are fine!,Got it! Could you DM us your email address and username? We'll take a look backstage /RV,download_offline,,,False,,1837741,1837743
GS_0076,"Just mentioned that your service wanted me to input my credit card information after couple of months having student discount, no discount.",Can you fire over your account's email address or username via DM? We'll take a look backstage /RC https://t.co/ldFdZRiNAt,premium_billing,,,False,,2673238,2673240
GS_0077,"iPhone 7+, Dear Evan Hansen's playlist (that I have saved) won't play :(","Got it! Are you receiving any errors when trying to play the playlist? If so, let us know the exact error. We'll be right here waiting /RV",playback_issue,,,False,,1027808,1027810
GS_0078,I only download albums. I removed all offline devices and will download again,Alright. Make sure to reinstall the app before downloading your tunes. More info at https://t.co/46sWVpIvlI. Keep us posted /AY,download_offline,,,False,,735890,735892
GS_0079,"Any news of when.. Really want to listen to #Endgame of #reputation given that me and many millions of people pay for ""Spotify premium"" 🤔🤔🤔",We’ll have it available to you as soon as it’s available to us! Hang in there /RB,premium_billing,,,False,,2756265,2756267
GS_0080,"Thanks, as you are unable to offer the service I require, I shall cancel my account &amp; sign up with a provider who can offer this feature.","We're sorry to hear you go, but we'll take your feedback and let the relevant folks know about this /RC",premium_billing,,,True,ambiguous - matches multiple intent patterns,1666802,1666803
GS_0081,"Just tried and it looks like it only happens over WIFI. I’m having the same problem when I’m using my Mac and iPad. It skips, pauses or restarts the song randomly.",Would you mind checking if restarting your router makes any difference? Let us know how it pans out /AR,playback_issue,,,False,,669341,669342
GS_0082,Username is scopixar515 if that helps,"Thanks! We've taken this on board. For now, give us a shout if there's anything else /PL",account_login,,,False,,235213,235215
GS_0083,"No the ad doesn’t come up at all, it’s just black except for the Learn More button. Also the pause button is visible, but if you hit it it just shows the play button but still black screen behind. It was this eve, guessing around 6:30 pm pst","Got it. We'd suggest logging out, restarting your device, and logging back in. This should help refresh the app. If the issue happens again, get back to us so we can check further /LO",app_bug,,,False,,2597261,2597262
GS_0084,"Probably about 2/3 days! And no restarting it hasn’t helped really, i was thinking about deleting and downloading it again! would that help?",Thanks for letting us know! Can you DM us your account's email address? We'll take a look backstage /CB https://t.co/ldFdZRiNAt,download_offline,,,False,,1358955,1358957
GS_0085,they’re still there but all my downloads were deleted and the albums saved have half the songs missing now,That's strange. Can you DM us your account's username or email address? We'll check things backstage /MU https://t.co/ldFdZRiNAt,download_offline,,,False,,2844606,2844607
GS_0086,"""It looks like you are using your Facebook credentials to log in to Spotify. To change your Facebook password go to your settings page at https://t.co/ShFuLmC95N."" is the msg I get but then it won't let my FB log in either.",Got it. Could you DM us your username and email address? We'll take a closer look /JQ https://t.co/ldFdZRiNAt,account_login,,,False,,2358989,2358988
GS_0087,All sorted. iOS update didn’t show any saved albums etc only saved playlists. Required a restart to solve issue. Many thanks for the offer.,"Glad to hear everything's sorted out! If you need anything else, you know where to find us 🙂 /DB",download_offline,,,True,ambiguous - matches multiple intent patterns,1091680,1091679
GS_0088,"https://t.co/jXoYV4d7I3. Not psyched about not having a straight answer from you, your suggestions not working and me ending up troubleshooting for you... :)","We understand. We're afraid we currently don't have a specific timeframe. Don't worry, it looks like you're able to access the website now! Just enter your email address so we can notify you when we launch there. We hope this clears things up /NH",app_bug,,,True,ambiguous - matches multiple intent patterns,622848,622849
GS_0089,"Thanks for the info! So if I have ONLY my new iPod with premium, I can access all of my playlists offline? Just to clarify!",That's right! We have more info about offline listening here: https://t.co/WSjJgGAmPy. Give us a shout if you need more help /MO,premium_billing,,,True,ambiguous - matches multiple intent patterns,1720108,1720107
GS_0090,"Thanks for the reply! I think o have resolved it now, it didn't seem to like a password with numbers/punctuation in it?!",Nice! We're glad it's working now. Now let's... https://t.co/flUnoJ2P8u /RE,account_login,,,True,ambiguous - matches multiple intent patterns,2316883,2316885
GS_0091,"No, but it does shuffle only within the first 50-100 songs. No songs past that will play in shuffle mode",Thanks for the report. The right team are aware of this issue between Shuffle and Connect and they're investigating /PB,playback_issue,,,False,,1240626,1240628
GS_0092,"Yeah, continually saying I'm offline, or just saying error whenever I try to load a page","Got it! Is this happening on 3G/4G, WiFi, or both? Could you fire over the make/model of your device, as well as the operating system and Spotify version you're using? We'll see what we can suggest /KB",download_offline,,,False,,2914427,2914429
GS_0093,Nvm thank you spoke to an agent on the chat you guys have thanks for the help guys!,Awesome! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /JQ,general_inquiry,,,False,,2347876,2347877
GS_0094,Nope just crashes goes back to home screen,Hmm. Does logging out and restarting your device help? Let us know how it goes /RC,app_bug,,,False,,2291111,2291112
GS_0095,"No error messages, responsiveness gets progressively more sluggish until music stops playing when the system freezes.",Thanks for letting us know. When did this start happening? Does restarting your device help? /NS,playback_issue,,,False,,1384570,1384571
GS_0096,My Alexa is on version 591448720. This is the latest version. I understand Alexa updates are provided automatically.,"We'd like to take a closer look. If you could DM us your account's email address or username, that'd be great /AY https://t.co/ldFdZRiNAt",general_inquiry,,,False,,1477041,1477042
GS_0097,"general ""this song not available"" up top in the blue bar. seems to be all songs by katy perry or mumford and sons that I've found so far 🤔","Got it, thanks for that! Could you send a DM with the email address and username for your account? We'll take a look backstage /RV",content_search,,,False,,328986,328988
GS_0098,Here is the Screenshot. I pressed shuffle. It happens in all his songs. https://t.co/HwF5UXxPDZ,"Got it. Is this issue happening on WiFi, 3G/4G, or both? We'd also suggest trying different connections /MT",playback_issue,,,False,,902972,902973
GS_0099,I connect via Bluetooth. Restarting makes no difference. I also have Bluetooth headphones that shuffle fine when connected.,Can you try logging out &gt; restarting your device &gt; logging back in? Let us know if it helps /PL,playback_issue,,,False,,380802,380800
GS_0100,"Sure, thanks! I know my workplace (as we play different accounts on the main speakers) also has this issue.",No worries. We've just replied to your DM. We'll carry on helping out there /MU,general_inquiry,,,False,,514133,514135
GS_0101,"Here it is! Can't play the ad, can't skip, and can't play any playlist or song. No ad-blocker turned on, either. Thx in advance! https://t.co/fGKPstPWCS",Thanks for the screenshot. Does it only happen with the web player or with the app as well? Are you on a private or public network? /MG,playback_issue,,,False,,308984,308983
GS_0102,the update is over a year old &amp; does not work,"Thanks for the feedback – we appreciate it! We’ll get this passed onto the right team. If you have questions, just give us a shout /XF",app_bug,,,False,,2125227,2125229
GS_0103,"A limit on # of songs I merely ""save"" to intend to stream later? Despite paying for Premium? Bad response. Try again, with the word ""refund""","2: We’d also love to see your vote, and hear your feedback on this idea: https://t.co/8OOl8B2i69 /KB",premium_billing,,,False,,882525,882524
GS_0104,"Will that be soon? Also can't find Disco Santa Claus by The Rain Dolls, despite that being on UK iTunes",We don't have any info on this yet. Same thing with Disco Santa Claus. Fingers crossed we'll be able to have it soon /GK,content_search,,,False,,356947,356948
GS_0105,"The message i get is ""This song is not available. If you have the file on your computer, you can import it.""","Got it! Is this issue occurring on your computer only, or on other devices as well? We'll be right here waiting /RV",content_search,,,False,,1769705,1769707
GS_0106,"I'm in the US. Yes, this is a French release, but it was on the US Spotify for years and now it's not available.",We understand. Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have it available again soon! /MC,content_search,,,False,,1222142,1222144
GS_0107,There's an album by Incubus (Fungus Amongus) that has one playable track. I can see the rest but not play them. Any idea as to why?,Sometimes content gets temporarily removed because of licensing changes. Hopefully we'll have them available again soon /DD,playback_issue,,,False,,818963,818965
GS_0108,"I received an email from spotify saying that my email was changed, I did not request this change, I can not login or reset my pass help-me",Hi! We just replied to your DM. Check it out /WW,account_login,,,False,,1056943,1164867
GS_0109,"i have an iphone 7, ios11, and i have spotify premium","Got it, but can you let us know the app version you're using? We'll be right here waiting /PB",premium_billing,,,False,,1406397,1406398
GS_0110,2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲 https://t.co/RlWuqllt8S,"Got it. It's not possible at the moment, but we'll pass on the the suggestion. Could you try reinstalling the app? /PB",content_search,,,False,,858,856
GS_0111,he is in Spotify! just not available in my region yet.....,Got it. It might be down to licensing matters. Hopefully we'll have him available in your country soon /MO,content_search,,,True,ambiguous - matches multiple intent patterns,832173,832175
GS_0112,"The queue is still showing the same songs in a loop. Just to clarify, the playlist DOES play different songs, I just can't see the correct queue. But yeah if I could get a fix for that soon I'd appreciate. :) And thanks for acknowledging the other thing as well. 👌",Does this happen on every playlist you queue? Have you also checked if the same thing happens on other devices you log in to? /JU,playback_issue,,,True,ambiguous - matches multiple intent patterns,2746332,2746333
GS_0113,https://t.co/iqvwikCiKp,"Thanks for sending that over! Can you try logging out, restarting your device, then logging back in? Let us know if that helps /QI",general_inquiry,,,False,,2284920,2284918
GS_0114,Not quite. More classical music for work. But I guess I can just use this since I can't find the other one anymore - https://t.co/MBJ5OKzsg3,"Awesome! If you need help with anything else, just give us a shout. Otherwise, have a... https://t.co/FQulrDtFky 😉 /GU",content_search,,,False,,2404006,2404008
GS_0115,"I already visited that page but I couldn't find anything for an email address that has been changed, just passwords changes :( is there a specific section I should be looking in?",Our Accounts team should be able to help out. You can reach them by heading to our contact form under step 2 &gt; Logging in &gt; I can't log in to Spotify &gt; I Still Need Help /RE,account_login,,,False,,2667479,2667477
GS_0116,If you’re gonna drastically change things at least give us a walk through so we know how things work and where you moved things to. But right now I can’t search for an artist or find any of my saved playlists or my curated “radio stations”,"Thanks for the feedback! We'll be sure to pass it on to the right folks. In the meantime, let us know if we can help with anything else /LO",download_offline,,,False,,2749504,2749505
GS_0117,Thanks it seems to be ok now after the device logout / login. Thanks,Awesome! Give us a shout if you need us again. Otherwise... https://t.co/SkdXv2BhCb /JO,account_login,,,True,ambiguous - matches multiple intent patterns,2786596,2786598
GS_0118,"No crashes, just started playing this 82 minute long radio show in the middle of my playlist! Restarting the app fixed it but this particular ad may actually be a full show that for some reason is running as an ad.","Thanks for letting us know! Just to confirm, is everything running smoothly now? Keep us posted /CG",app_bug,,,False,,2236170,2236172
GS_0119,Uninstalled and reinstalled app and it's OK now. It wasn't actually on offline mode when I logged in.,Great! Glad to hear it's working now. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ 🙂 /NY,download_offline,,,False,,994565,994568
GS_0120,"Yep, they are! It's very repeatable too.if the phone is left on spotify and screen locks, unlocking disconnects it and stops payback. If spotify is minimised and brought back into the foreground it immediately stops playback and disconnects. If background for &gt;5 min sptfy closes",That's odd. Can you DM us your account's username or email address? We'll check things backstage /MU https://t.co/ldFdZRiNAt,playback_issue,,,False,,2807551,2807552
