example_id,customer_message,response,pred_intent,evidence_score,evidence_used,human_correctness,human_groundedness,human_relevance,human_helpfulness,human_tone,human_notes
GS_0091,"No, but it does shuffle only within the first 50-100 songs. No songs past that will play in shuffle mode",Hmm. Can you fire over the versions of your iOS and Spotify app? We'll see what we can suggest /PC,playback_issue,0.1664,,,,,,,
GS_0015,"the issue has no surfaced on Mac OS, my iPhone and Mac Spotify desktop client can no longer play Grimes https://t.co/ZdVTYh5YeI","Thanks! Just to check, is this happening on both devices or just on your phone? /JP",general_inquiry,0.2153,,,,,,,
GS_0073,"I'm already there in your waiting list...😰 (No delay in good things ✊) What could be the reason, it's not available in my country ?😰","We hear you 🎧 Rest assured, your feedback will be passed on to the right folks. In the meantime, if you have any other questions, you know where to reach us. Have a nice day /DR",general_inquiry,0.2452,,,,,,,
GS_0041,"i tried desktop app, iphone app, ipad app, and web player. i gave up and bought the songs on itunes. it was for a funeral this am.","Got it! Could you try clearing your cache/cookies? Also, do you only see this in the web player or in the app as well? Let us know /TY",general_inquiry,0.2333,,,,,,,
GS_0121,No error codes. On my phone whenever I select a frank song whatever’s playing stops and the bar on the bottom disappears,Can you try reinstalling the app? Just follow the steps here: https://t.co/cxGHt0bCR8. Keep us posted /PL,general_inquiry,0.1982,,,,,,,
GS_0000,I can’t Import music from my computer like my local files won’t play on desktop Spotify also the local files playlist have only imported with all songs on my iPhone not iPod or iPad they won’t play,"Sorry to hear that. Can you let us know the device, operating system, and Spotify version you're using? /JE",playback_issue,0.2194,,,,,,,
GS_0092,"Yeah, continually saying I'm offline, or just saying error whenever I try to load a page",Alright! Could you DM us your Spotify account's email address or username? We'll take a look under the hood /BH https://t.co/ldFdZRiNAt,download_offline,0.1324,,,,,,,
GS_0063,Well it’s happening AGAIN today. Clear cache/cookies and it continues to crash in chrome.,Great! Glad to hear it worked. You know where to find us if the issue happens again /PL,general_inquiry,0.2157,,,,,,,
GS_0110,2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲 https://t.co/RlWuqllt8S,"This isn't possible right now, but we appreciate the feedback. We'll let the right team know it's something you'd like to see /KL",general_inquiry,0.2221,,,,,,,
GS_0016,"I apologize, but my problem is back. It was shuffleing my songs this morning on my way to work, but now it is not working again for whatever reason. It’s doing the same thing as before where the shuffle light goes off as soon as the song changes. Please help!",Thanks for the info. Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt,playback_issue,0.1888,,,,,,,
GS_0180,"Tried that, does not work.",Alright. Could you drop us a DM? Let's carry on there /JE https://t.co/ldFdZRiNAt,app_bug,0.4904,,,,,,,
GS_0199,This is the song that was not playing correctly but it seems to be working fine now! https://t.co/xLTWj1xbYa,Great! Glad to hear it's working. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ /GK,general_inquiry,0.412,,,,,,,
GS_0043,Sharing it still not working. Uninstalled/reinstalled - saw the app did an update - no phone updates. Please send help.,Hmm. Could you send us a DM with your account's email address or username? We'll take a look backstage /DR https://t.co/ldFdZRiNAt,app_bug,0.3193,,,,,,,
GS_0037,There’s no reason for my downloads to be removed! And sometimes it happens to some artists I think you should fix the app,"Don't worry, we can assure you that your downloads should stay safe and sound after those steps. Let us know how it goes /QI",download_offline,0.1908,,,,,,,
GS_0077,"iPhone 7+, Dear Evan Hansen's playlist (that I have saved) won't play :(","Sorry to hear that. Can you let us know the device, operating system, and Spotify version you're using? /JE",playback_issue,0.1959,,,,,,,
GS_0178,Hi. I’m using iPhone 7+ with iOS11. My Spotify is 8.4.20.535. Hope you can help me with this. Thanks.,"Thanks for checking. Also, des this happen on cellular data, WiFi, or both? /JU",general_inquiry,0.289,,,,,,,
GS_0197,"Looks like I need log in more regularly, seems to have worked for now. Thanks.","Awesome! Glad to hear it's working now. If you ever need us again, just give us a shout. We'd be... https://t.co/LgAM6ky9Vv /AN",general_inquiry,0.4276,,,,,,,
GS_0019,Wondering why Loreens new cd Ride are not available on for spotify france?we have 2 singles and the ep from this summer.i have had the same problem with new music from other swedish artists before..,"Hey, help's here! Can you give it a go on an incognito window or a different browser? Let us know how it goes /RH",general_inquiry,0.2201,,,,,,,
GS_0158,https://t.co/ERLxIw0uMA,Thanks for the info. We can see that the songs are fine on our end. Can you let us know what country you're currently in? /LM,general_inquiry,0.4213,,,,,,,
GS_0029,"Thanks but that didn’t answer WHY there’s a limit. I have 16gb free on my phone and want to download at least 5,555 songs not 3,333.","We hear you 🎧 Thanks for taking the time to reach out – your feedback will be passed on to the right folks. For anything else, feel free to send a tweet our way /DN",download_offline,0.3094,,,,,,,
GS_0066,I've had my downloads removed twice before but this time I'm missing songs from my library,"Thanks for the heads-up. Just to clarify, did the issue still persist after you removed your offline songs? Keep us posted /MT",download_offline,0.2704,,,,,,,
GS_0100,"Sure, thanks! I know my workplace (as we play different accounts on the main speakers) also has this issue.",No worries! Let us know if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv /RS,general_inquiry,0.2578,,,,,,,
GS_0186,"Galaxy note 5, Android, and idk the spotify version. It's the latest app, as I tried uninstalling and redownloading",Hi! We don't support apps downloaded from third-party app stores. We suggest following the steps at https://t.co/EqisDMwZAT to reinstall /CO,download_offline,0.2521,,,,,,,
GS_0048,The normal 3 state is a 2 state on these devices: no repeat and repeat all,Thanks for trying. Does the same thing happen to any songs or playlists? What about on a different device? /CO,playback_issue,0.1365,,,,,,,
GS_0105,"The message i get is ""This song is not available. If you have the file on your computer, you can import it.""","Thanks. If it's not too much trouble, can you try using a difference device to see if the same thing'll happen? Let us know how it goes /DR",content_search,0.7312,,,,,,,
GS_0156,Once I bought it the app kept skipping through songs and not playing anything but it stops and plays 7 commercials in a row and the skips through every song again.,Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll check things out /NG,playback_issue,0.1848,,,,,,,
GS_0013,yep it’s the default on both !,Thanks. We'll get this reported. Great detective work! https://t.co/LpsmyUtme0 /PB,general_inquiry,0.3083,,,,,,,
GS_0051,Thanks for the answer. I have no other way to play spotify on the tv. The options given are not available for me. I'll have to wait longer,"2. In the meantime, we'd suggest reinstalling the app to your Roku device to see if that helps. Let us know how you get on /TB",general_inquiry,0.1883,,,,,,,
GS_0104,"Will that be soon? Also can't find Disco Santa Claus by The Rain Dolls, despite that being on UK iTunes","We understand. We don't have any updates yet, but we hope to have them as soon as we can. Let us know if there's anything else /PB",general_inquiry,0.2621,,,,,,,
GS_0038,"nop no diff, still ""This song is not available. If you have the file on your computer you can import it.""","Thanks. If it's not too much trouble, can you try using a difference device to see if the same thing'll happen? Let us know how it goes /DR",content_search,0.7283,,,,,,,
GS_0183,"Thanks for getting back to me. My question is - when you ""shuffle"" a playlist is it truly random? For at least the past year it feels like the same songs keep coming up even though there are over 2k on the playlist.","No problem! If you need us again, just give us a shout. https://t.co/uQiQuWow27 🙂 /NY",general_inquiry,0.3071,,,,,,,
GS_0044,"Everything else works, it's just that the music won't play.","Hmm. Can you let us know the exact device, Android, and app versions you're using? We'll wait for your reply /PB",playback_issue,0.2938,,,,,,,
