example_id,customer_message,historical_evidence,generated_response,correctness_llm,groundedness_llm,relevance_llm,helpfulness_llm,tone_llm,overall_llm,llm_reason
GS_0007,The album is not currently on Spotify and I desperately need it to be. cc:,"Example 1: Customer: Thanks for the feedback. It’s an album I’ve listened for years and am really glad to see it on Spotify.
Support: You're welcome! We're glad to hear that you love it. Just give us a shout if we can help with anything else. We're just a tweet away 🙂 /LM
Similarity: 0.0746

Example 2: Customer: Okay, so is the album gonna be available in Mexico? It was at first, issues began to appear yesterday
Support: We're afraid we don't have any more info to share right now, but we'll make sure to pass your thoughts on to the right team /AU
Similarity: 0.0686

Example 3: Customer: Thanks....and can u suggest me how to listen 's newly released album flicker, as I can't listen on spotify...
Support: We don't have any further info to share right now. If you have any further questions about Spotify, just shout and we'll come running 🏃 /FR
Similarity: 0.0634",Got it! Behind the Lyrics should be available to all Android users. Are you having any issues viewing them? Let us know /PB,1,1,1,1,1,1,We're glad to hear that you love it. Just give us a shout if we can help with anything else. We're just a tweet away!
GS_0171,"Ya, those 5 songs I really wanted to save from last week but can’t find now. Ha","Example 1: Customer: We requested it last week, but still no change, is it possible to track a request?
Support: Sure! Could you DM us your artist URI, and your contact email address? We’ll chase this up /NY https://t.co/ldFdZRiNAt
Similarity: 0.1471

Example 2: Customer: What I’m asking is, how can I find the other, older versions (e.g. if I didn’t already have them saved). istr there used to be an “x more release(s)” link at the bottom of the track listing page for an album, but in this case I can’t find i
Support: Thanks for clearing that up. The feature is currently unavailable, but we hear you 🎧 Rest assured, your feedback will be passed on to the right folks /QI
Similarity: 0.0726

Example 3: Customer: Alright , but can you add equalizer to Spotify 😅
Support: This sounds like a great idea! Add your vote here to help make it happen: https://t.co/1m1NfvwVPL /RC
Similarity: 0.0671","We understand. Fingers crossed we'll be able to have it again soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa. For anything else, let us know /GU",1,1,1,1,1,1,"We understand. Fingers crossed we'll be able to have it again soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa."
GS_0057,Never mind I just had to re download it but thank you for replying,"Example 1: Customer: Just to be clear, the playlist will still be there with all the songs, but I'll just have to re-download it to ""offline""? 🙂
Support: That's right! If you have other questions, just let us know 🙂 /GS
Similarity: 0.2269

Example 2: Customer: I had to re-download all my offline playlists upon switching iphones and noticed the downloads seems to work when you’re in the app and not in the background when the app is minimised.
Support: That's odd. Could you let us know which iPhone you're using, your iOS version, and the Spotify version you're running? We'll see what we can suggest /KT
Similarity: 0.1683

Example 3: Customer: No it doesn't. I have to re-download ALL the songs again and this has been happening for the past couple of weeks
Support: Sorry to hear that! Check out the steps under “Downloads unexpectedly removed” at https://t.co/EidIERWgLX. They should help with this /SY
Similarity: 0.1659","We're glad that it's working now and we apologize for the inconvenience. If you need help with anything else, just give us a shout. Otherwise, have a... https://t.co/FQulrDtFky 😉 /GU",1,1,1,1,1,1,"We're glad that it's working now and we apologize for the inconvenience. If you need help with anything else, just give us a shout. Otherwise, have a nice day /GU"
GS_0159,Android version 7.0 Happens during either. I only tend to listen to songs or playlists that i've previously downloaded https://t.co/mxHvZA2654,"Example 1: Customer: Android version 7.0 Happens during either. I only tend to listen to songs or playlists that i've previously downloaded https://t.co/mxHvZA2654
Support: Thanks! Does using a different device make a difference? Let us know how this plays out /MS
Similarity: 1.0000

Example 2: Customer: It happens when I listen to my downloaded music. Version 8.4.20
Support: Thanks! Can you DM us your account's email address? We'll take a look backstage /JN https://t.co/ldFdZRiNAt
Similarity: 0.1130

Example 3: Customer: my downloaded songs
Support: Thanks! Can you DM us your account's email address? We'll take a look backstage /JN https://t.co/ldFdZRiNAt
Similarity: 0.0791",Thanks! Can you DM us your account's email address? We'll take a look backstage /JN https://t.co/ldFdZRiNAt,1,1,1,1,1,1,Thanks! Can you DM us your account's email address? We'll take a look backstage /JN https://t.co/ldFdZRiNAt
GS_0124,Great. So now the official way is to create a “downloads” playlist and download that playlist? That sounds hacky af.,"Example 1: Customer: Great. So now the official way is to create a “downloads” playlist and download that playlist? That sounds hacky af.
Support: We hear you 🎧 Rest assured your feedback will be passed on to the right folks /DF
Similarity: 1.0000

Example 2: Customer: I already reinstall and download all my playlist again.
Support: Alright. We've just sent you a DM, so check your inbox /RH
Similarity: 0.1259

Example 3: Customer: Yeah for the music playlist that I downloaded to play offline. Is there a difference? 🤔
Support: 2: keep the music in Your Library though 🙂 Hope that explains it /GS
Similarity: 0.0919",2: keep the music in Your Library though 🙂 Hope that explains it /GS,1,1,1,1,1,1,"We've just sent you a DM, so check your inbox /RH"
GS_0025,"Hey! It's resolved now - just looks as though there was a bloop in my ISP when connecting to Spotify. Btw, is that a template message in LSW/Lithium Response?","Example 1: Customer: Hey how do I do that?!! (Link to a spotify song) :)
Support: To share a Song Link, just select your song &gt; tap the three dots &gt; Share &gt; Copy Link. More info here: https://t.co/RT7XNMNEAr /MT
Similarity: 0.0661

Example 2: Customer: he is in Spotify! just not available in my region yet.....
Support: Got it. It might be down to licensing matters. Hopefully we'll have him available in your country soon /MO
Similarity: 0.0606

Example 3: Customer: I just installed Spotify &amp; disappointed there's no option to auto-play video while streaming music as there was with Groove
Support: This isn't possible, but we appreciate the feedback. We’re always testing things in order to improve &amp; we'll pass on your thoughts /AC
Similarity: 0.0567","Got it. Does this happen when you're playing online or offline songs? Also, what version of Spotify are you running? /NS",1,1,1,1,1,1,YouTube video not playing while listening to music
GS_0147,"Tried on my Android. Not working. Tried on a coworker computer with my account, not working also. Working with his account :)","Example 1: Customer: Yes. It takes up tons of space with all the new versions, but it opens fine on my laptop. It's on my work computer that it's not working. I have to use the web browser version which isn't that great. When I left, my work computer was back t
Support: Thanks for letting us know. Can you try reinstalling the app using the steps at this link: https://t.co/uaNsDPIwm2? This will ensure that Spotify is completely removed before reinstalling. Let us know how it goes /QI
Similarity: 0.0991

Example 2: Customer: Error 404. Can't sign into my account. Please help.
Support: Hi there, sorry to hear about that! We'll be sure to carry on helping out via DM /AY
Similarity: 0.0629

Example 3: Customer: Its been a month trying to get a response to fixing an error on my artist account. I need songs merged to my verified account.
Support: Got it! If you've reached out, DM us your email address &amp; we'll chase it up /DH https://t.co/ldFdZRiNAt
Similarity: 0.0564",We hear you. Could you try this out on a desktop? We'll be waiting for your reply /JQ,1,1,1,1,1,1,We're here to help you with your Spotify issue. Please try reinstalling the app using the steps at this link: https://t.co/uaNsDPIwm2? This will ensure that Spotify is completely removed before reinstalling. Let us know how it goes /QI
GS_0014,Error 404????? Lol,"Example 1: Customer: Lol... How do you know it's not available in my country without checking my account?
Support: We checked your previous tweets, found your Premium, Facebook-created account, and checked the artist availability in your country /RB
Similarity: 0.0599

Example 2: Customer: Cheers for the reply, and my suggestion for a long press feature is the old one lol :)
Support: You're welcome, and thanks for letting us know! We're just a tweet away if you need help with anything else 🙂 /CP
Similarity: 0.0539

Example 3: Customer: oh cool-- thanks LOL I legit didn't know how I could suggest it officially
Support: Sure, you can! Hopefully your idea gets support from other users. If you need a hand with anything else, don't hesitate to reach out 🙂 /MG
Similarity: 0.0537","That doesn't look good. Which operating system are you running? By the way, can you head over to this link to see if it'll work: https://t.co/MQtBW54x7q? /YM",1,1,1,1,1,1,Thanks for letting us know! We're just a tweet away if you need help with anything else.
GS_0091,"No, but it does shuffle only within the first 50-100 songs. No songs past that will play in shuffle mode","Example 1: Customer: No, but it does shuffle only within the first 50-100 songs. No songs past that will play in shuffle mode
Support: Thanks for the report. The right team are aware of this issue between Shuffle and Connect and they're investigating /PB
Similarity: 1.0000

Example 2: Customer: What the H E C K does “Shuffle with Connect mean”?
Support: Does this happen when you're listening on a Wi-Fi-connected speaker or TV, using the Spotify app as a remote? /YM
Similarity: 0.1446

Example 3: Customer: My issue is that i have over 130 songs on this playlist and when i shuffle, only the same 3 albums play, like it doesn't shuffle all
Support: Just to check, does this issue happen when you're using Connect and you have Shuffle enabled? /AR
Similarity: 0.1303",Hmm. Can you fire over the versions of your iOS and Spotify app? We'll see what we can suggest /PC,1,1,1,1,1,1,"Shuffle with Connect means that only the same 3 albums play when you shuffle, so you might want to check your iOS and Spotify apps to see if this is an issue for you."
GS_0015,"the issue has no surfaced on Mac OS, my iPhone and Mac Spotify desktop client can no longer play Grimes https://t.co/ZdVTYh5YeI","Example 1: Customer: Yeah so it works on my PC but not on my iPhone. But the blue line ""unable to play this song"" shows on the tracks that dont work on my phone. https://t.co/N5ogB83VBn
Support: Thanks for letting us know. Can you DM us your account's email address? We'll take a look under the hood /QI https://t.co/ldFdZRiNAt
Similarity: 0.0617

Example 2: Customer: Awesome! I'm using a Mac Book pro, and have Spotify downloaded
Support: Thanks! Was the sound from a video ad, or from one of the banner ads on the app? Which Spotify version are you currently running? /NQ
Similarity: 0.0516

Example 3: Customer: No, it doesn't. The songs are not available in desktop version of app also. https://t.co/4nvtIepxGU
Support: Hmm. Can you DM us your account's email address and the playlist's URI? We'll check both backstage /NY https://t.co/ldFdZRiNAt
Similarity: 0.0512","Thanks! Just to check, is this happening on both devices or just on your phone? /JP",1,1,1,1,1,1,Thanks for letting us know. Can you DM us your account's email address? We'll take a look under the hood /QI https://t.co/ldFdZRiNAt
GS_0073,"I'm already there in your waiting list...😰 (No delay in good things ✊) What could be the reason, it's not available in my country ?😰","Example 1: Customer: I'm already there in your waiting list...😰 (No delay in good things ✊) What could be the reason, it's not available in my country ?😰
Support: We'd love to be available everywhere! Hopefully we'll be there in the future 🙂 /Q
Similarity: 1.0000

Example 2: Customer: it says its not available in my country
Support: Hmm. Do you have an existing account with us? Which country are you currently in? We'll get to the bottom of this /LP
Similarity: 0.2803

Example 3: Customer: So it’s not available in the UK?
Support: That's right. No worries, we'll let the right team know it's something you'd like to see /RP
Similarity: 0.2248","We hear you 🎧 Rest assured, your feedback will be passed on to the right folks. In the meantime, if you have any other questions, you know where to reach us. Have a nice day /DR",1,1,1,1,1,1,"We hear you 🎧 Rest assured, your feedback will be passed on to the right folks. In the meantime, if you have any other questions, you know where to reach us. Have a nice day /DR"
GS_0121,No error codes. On my phone whenever I select a frank song whatever’s playing stops and the bar on the bottom disappears,"Example 1: Customer: Yeah so it works on my PC but not on my iPhone. But the blue line ""unable to play this song"" shows on the tracks that dont work on my phone. https://t.co/N5ogB83VBn
Support: Thanks for letting us know. Can you DM us your account's email address? We'll take a look under the hood /QI https://t.co/ldFdZRiNAt
Similarity: 0.0810

Example 2: Customer: How do I get the URI on my phone? Only seeing this https://t.co/adSbvcIWII
Support: Sorry for the confusion! Could you DM us the song link? Click the three dots &gt; share &gt;copy link. Let us know how it goes /DF https://t.co/ldFdZRiNAt
Similarity: 0.0609

Example 3: Customer: Not the album but thanks anyways. I meant to say you guys should add a ""you might also like"" feature with suggested albums at the bottom
Support: Ah, gotcha - sorry for the confusion! To view suggestions and recommendations, head over to Browse &gt; Discover 😉 /SY
Similarity: 0.0527",Can you try reinstalling the app? Just follow the steps here: https://t.co/cxGHt0bCR8. Keep us posted /PL,1,1,1,1,1,1,You might also like this album
GS_0000,I can’t Import music from my computer like my local files won’t play on desktop Spotify also the local files playlist have only imported with all songs on my iPhone not iPod or iPad they won’t play,"Example 1: Customer: My songs won't play...
Support: Sorry to hear that. Can you let us know the device, operating system, and Spotify version you're using? /JE
Similarity: 0.2110

Example 2: Customer: Still hasn't helped, won't play on bus wifi and won't play when I go off the app either..
Support: Thanks for keeping us in the loop. Can you try the steps here for us: https://t.co/EqisDMwZAT? Let us know if that makes a difference /AY
Similarity: 0.1465

Example 3: Customer: I tap on the tracks on my S7, and the songs just won't play, on my laptop, it says, the song isn't avalible.
Support: Does logging out, restarting your device, and logging back in make any difference? Let us know how it goes /FR
Similarity: 0.1370","Sorry to hear that. Can you let us know the device, operating system, and Spotify version you're using? /JE",1,1,1,1,1,1,"Please try logging out, restarting your device, and logging back in to see if it works."
GS_0092,"Yeah, continually saying I'm offline, or just saying error whenever I try to load a page","Example 1: Customer: Yeah, continually saying I'm offline, or just saying error whenever I try to load a page
Support: Got it! Is this happening on 3G/4G, WiFi, or both? Could you fire over the make/model of your device, as well as the operating system and Spotify version you're using? We'll see what we can suggest /KB
Similarity: 1.0000

Example 2: Customer: Yeah for the music playlist that I downloaded to play offline. Is there a difference? 🤔
Support: 1: We're afraid reinstalling the app would clear your Spotify cache which means you'll need to redownload your offline tunes. You'll...
Similarity: 0.0569

Example 3: Customer: Yeah for the music playlist that I downloaded to play offline. Is there a difference? 🤔
Support: 2: keep the music in Your Library though 🙂 Hope that explains it /GS
Similarity: 0.0569",Alright! Could you DM us your Spotify account's email address or username? We'll take a look under the hood /BH https://t.co/ldFdZRiNAt,1,1,1,1,1,1,We're afraid reinstalling the app would clear your Spotify cache which means you'll need to redownload your offline tunes. You'll need to log in to your Spotify account to see the changes.
GS_0063,Well it’s happening AGAIN today. Clear cache/cookies and it continues to crash in chrome.,"Example 1: Customer: Thank you for you're service. I have a HP Elite X3 with the newst build. Yes it's happening on other devices to. Mutch feedback in the store
Support: Thanks! Rest assured that all your feedback were taken on board /PL
Similarity: 0.0544

Example 2: Customer: How do i clear the space then? Because it keeps going up and up.
Support: Can you let us know approximately how many songs you have synced for offline listening? You can free up some space by removing some of your downloaded tunes /PB
Similarity: 0.0446

Example 3: Customer: I updated to iOS 11 and it’s not compatible with Spotify6 😭
Support: Could you tell us the exact Spotify app version you have on your device? We'll see what we can suggest /JU
Similarity: 0.0382",Great! Glad to hear it worked. You know where to find us if the issue happens again /PL,1,1,1,1,1,1,We are here to help you. Please let us know if you have any issues with your device. We will do our best to assist you.
GS_0110,2/2... and there is no way to manage Albums (recently added e.g.) in the App. It's a mess 😲 https://t.co/RlWuqllt8S,"Example 1: Customer: There is no edit option to delete from my playlist. Is there another way? https://t.co/3TR5y5WKFU
Support: We're afraid you need to to delete them manually for each playlist. There's info on how to do that at the link we've sent earlier /AR
Similarity: 0.1362

Example 2: Customer: How come there is no ""open in app automatically"" feature?
Support: We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted 📝 /QI
Similarity: 0.1205

Example 3: Customer: How can I check how many I have? And is there a way to get more?
Support: We're afraid it's not possible to increase the limit. Can you check if the tracks you've downloaded add up to 3,333? We'll be waiting /GS
Similarity: 0.0816","This isn't possible right now, but we appreciate the feedback. We'll let the right team know it's something you'd like to see /KL",1,1,1,1,1,1,"We're afraid it's not possible to increase the limit. Can you check if the tracks you've downloaded add up to 3,333? We'll let the right team know it's something you'd like to see /KL"
GS_0016,"I apologize, but my problem is back. It was shuffleing my songs this morning on my way to work, but now it is not working again for whatever reason. It’s doing the same thing as before where the shuffle light goes off as soon as the song changes. Please help!","Example 1: Customer: I apologize, but my problem is back. It was shuffleing my songs this morning on my way to work, but now it is not working again for whatever reason. It’s doing the same thing as before where the shuffle light goes off as soon as the song ch
Support: Could you shoot us a DM with your account's username and email address? We'll take a look backstage /VK https://t.co/ldFdZRiNAt
Similarity: 1.0000

Example 2: Customer: It was an iPod gen4 but also tried my phone which is and iPhone 6 on the latest iOS and it was doing the same thing. Just played half a song then stopped
Support: Got it! Could you try uninstalling and reinstalling the app? Let us know how it goes /DF
Similarity: 0.1155

Example 3: Customer: Doesn’t work - Did the same as before and go back into the app and it thinks it is still playing music but it has been stopped by the video
Support: No worries. Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt
Similarity: 0.1045",Thanks for the info. Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt,1,1,1,1,1,1,Thanks for the info. Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt
GS_0180,"Tried that, does not work.","Example 1: Customer: No error message, clicking in it does nothing, tried several playlists and nothing.
Support: Okay. Can you try logging out of Spotify, restarting your Mac, and logging back in to see if that helps? /NY
Similarity: 0.0776

Example 2: Customer: Spotify 1.0.66.478.g1296534d on MacOS 10.11.6. Client does not seem to be robust when things get tricky e.g. network changes, captive portals, poor connection or switching audio devices. It regularly gets confused and throws this error.
Support: Thanks. Can you try logging out &gt; restarting your device &gt; logging back in help? Let us know how it goes /RS
Similarity: 0.0686

Example 3: Customer: It's my work computer, and I'm at home now, but I think it's Windows 10. I tried deleting all the Spotify files and all that, but it still gave me an error message.
Support: Got it. Just to make sure, have you tried running the Spotify desktop app on your work computer as an administrator? Just right-click Spotify and click ""Run as administrator"". Keep us posted /MT
Similarity: 0.0580",Alright. Could you drop us a DM? Let's carry on there /JE https://t.co/ldFdZRiNAt,1,1,1,1,1,1,Spotify desktop app is not working properly on Windows 10. Please try running it as an administrator.
GS_0199,This is the song that was not playing correctly but it seems to be working fine now! https://t.co/xLTWj1xbYa,"Example 1: Customer: This is what is popping up when I try to reset it https://t.co/c3YZ0QsdBz
Support: Thanks! Could you try to reset the password again on an incognito window? Let us know how it goes /JL
Similarity: 0.0793

Example 2: Customer: I see from https://t.co/raBInZ4fx8 that this feature was removed a while ago. Can you ask the devs to elaborate on why that was done?
Support: We're afraid we don't have any more info to share right now, but thanks for the comments. We'll pass them on to the right team /ME
Similarity: 0.0777

Example 3: Customer: There seems to be a lot of negative responses to this on the link you provided. Maybe “Spotify” needs to reconsider this feature.
Support: No worries, we'll let the right folks know how you feel about it. If you need anything else, we'll be right here /RA
Similarity: 0.0729",Great! Glad to hear it's working. Just let us know if we can help with anything else. https://t.co/m4HWSbgHVZ /GK,1,1,1,1,1,1,Thanks! Could you try to reset the password again on an incognito window? Let us know how it goes /JL
